asset_id,file,usage,owner,creator,source,licence,consent_release,file_hash_sha256,dimensions,duration,format,accessibility_text,focal_point,approval_status,generated_edited_disclosure,expiry,replacement_history
asset-6d46b434cbff,assets/community/community-connect-dashboard-preview.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,8835e555076fc03db0b68ec3c7ef15c6e680a22513f888e200779783aeea37af,722×392,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-c2dbb5965eaf,assets/community/community-connect-dashboard-preview.webp,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,b1440d60eea58d4f4197ddb4f204fa0c862199ef403ad13626f3f3889b03e8da,not-read,not applicable / not measured,WEBP,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-e549e7adc20a,assets/community/community-connect-icon-mark-96.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,4ac4972780e9661dfeda6409c5082af6c8677055b1c0a1e21051abc20018d195,96×96,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-0d7993586f86,assets/community/community-connect-icon-mark.png,CLAUDE.md | community-connect/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,f1c1759a913dfb1e0d0c33997f849dd81880ab20fa0952fdcb6238084f455f66,256×256,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-66bc2f2dbc17,assets/community/community-connect-screen-activity-feed.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,886ec48de14b86f8c6535fffdaac97589306194f8690472bcdd0fb036853d02a,282×504,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-8f758f94159b,assets/community/community-connect-screen-activity-feed.webp,community-connect/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,57d68a7dc98be7227bc9a46736c10e8e04bb13e260eb4fa32e65463e50961e2f,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-73778a84d66e,assets/community/community-connect-screen-dashboard-mobile.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,f604dbb41e119786ab36bc0c8842aeba4dc13baf375fd7dd1d2ae78ac8dd9e15,282×504,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-1f146fd01238,assets/community/community-connect-screen-dashboard-mobile.webp,community-connect/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,090ffa90c75ebc1a47e2b74020ac27f1988436e7cec2063af87b451bbbb9baf3,not-read,not applicable / not measured,WEBP,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-80621997ae33,assets/community/community-connect-screen-report-details.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,35d62a9f8f6aca6d4cdb0d564f145659767131788f02b78cfb205fb4f237ec2b,282×504,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-848de2c9d3b3,assets/community/community-connect-screen-report-details.webp,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,359691253b9255ffecc68bb9113d790499d613f8e01548c64188b5bc65bb9d88,not-read,not applicable / not measured,WEBP,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-9eb73756c24b,assets/community/community-connect-screen-report-form.png,no static consumer found,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,4b7053be2f426badc23dd5d06def84239ed34781b21bb7f6c9fec6d544674218,282×504,not applicable / not measured,PNG,not in public use,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
